date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,dfy,dfr,tms,dp,dy,ep,de,tbill_rfree,mr,R
1965-12-31,92.43,2.72,5.19,0.43063780616140146,0.0438,0.046799999999999994,0.050199999999999995,0.045,0.020837518729631407,0.0033,0.003154574132492094,-0.0078,-0.0149,0.0003013655280646578,-0.00081288747,0.010349,0.009059,0.0034000000000000002,-0.0071,0.0011999999999999997,-3.52581972096878,-3.516908555719211,-2.8797179040988885,-0.6461018168698913,0.0035787133767835044,0.010349,0.007049000000000001
1966-01-31,92.88,2.74,5.24,0.4243983284359081,0.045899999999999996,0.047400000000000005,0.0506,0.0457,0.02027862691342897,0.0038,0.0,-0.0104,0.0022,0.00015180444363155273,-0.00053976201,0.005705,0.004874,0.0031999999999999945,0.0126,-0.0001999999999999988,-3.5233504169896577,-3.5184936808767073,-2.8749868390566853,-0.648363577932972,0.0037468150587982585,0.005705,0.001905
1966-02-28,91.22,2.76,5.29,0.4384960447110485,0.04650000000000001,0.0478,0.0512,0.0477,0.020025974238215696,0.0034999999999999996,0.0062893081761006275,-0.025,-0.0113,0.00033706547003400895,-0.00079369557,-0.01275,-0.017548,0.0034000000000000002,0.013700000000000002,0.0011999999999999927,-3.498043491554496,-3.5160776576605777,-2.8474559254133465,-0.6505875661411495,0.0037947872834442897,-0.01275,-0.01625
1966-03-31,89.23,2.78,5.34,0.49017593563805056,0.045899999999999996,0.0492,0.053200000000000004,0.046,0.016788179507743927,0.0038,0.0031250000000000444,0.0296,-0.0059,0.0009310078959741423,-0.0004888765,-0.023041,-0.024608,0.0040000000000000036,-0.035500000000000004,0.00010000000000000286,-3.4687663782095144,-3.490823243581009,-2.8159916529399567,-0.6527747252695579,0.0037468150587982585,-0.023041,-0.026841
1966-04-30,91.06,2.79667,5.38,0.4854982435095536,0.0462,0.0496,0.0541,0.0467,0.015636251357783175,0.0034000000000000002,0.006230529595015355,-0.0063,0.0013,0.00035126467384596763,-0.00077685742,0.022158,0.02125,0.004500000000000004,0.0076,0.0005000000000000004,-3.4830892062012277,-3.462787882206652,-2.8288302557329428,-0.654258950468285,0.0037708043235686883,0.022158,0.018758
1966-05-31,86.13,2.81333,5.42,0.5127422036716549,0.0464,0.049800000000000004,0.0548,0.0473,0.015945601026339906,0.0040999999999999995,0.0,-0.0059,-0.0026,0.0019354753996564922,-0.00042074561,-0.04914,-0.054645,0.0049999999999999975,0.0033,0.000900000000000005,-3.421488947696152,-3.477149794801705,-2.765761967349528,-0.6557269803466239,0.003786793663815624,-0.04914,-0.05324
1966-06-30,84.74,2.83,5.46,0.5209746006206183,0.045,0.0507,0.0558,0.0477,0.01712295594623748,0.0038,0.003095975232198178,-0.0016,0.003,0.0005012069312327924,-0.00066601648,-0.01438,-0.015904,0.0051,0.0046,0.002700000000000001,-3.3993110335432664,-3.4155810711459362,-2.7421389554415994,-0.6571720781016672,0.0036748094004368514,-0.01438,-0.01818
1966-07-31,83.6,2.85,5.47667,0.5349430007788714,0.048,0.0516,0.056799999999999996,0.0482,0.018641263639168074,0.0034999999999999996,0.0030864197530864335,-0.0037,-0.0098,0.001013784454286449,-0.0010224731,-0.012129,-0.013039,0.005199999999999996,-0.0060999999999999995,0.0001999999999999988,-3.378724525810097,-3.3922687509178537,-2.7255462680670473,-0.6531782577430494,0.003914607630530309,-0.012129,-0.015628999999999997
1966-08-31,77.1,2.87,5.49333,0.5749546555726082,0.0496,0.053099999999999994,0.0583,0.0499,0.02147027133695566,0.0040999999999999995,0.006153846153846176,-0.0206,-0.0259,0.003165234678005566,-0.001167014,-0.07165,-0.077487,0.005200000000000003,-0.005299999999999999,0.00030000000000000165,-3.2907912507977537,-3.3717314903191262,-2.641568651552368,-0.6492225992453855,0.004042242847743793,-0.07165,-0.07575000000000001
1966-09-30,76.56,2.89,5.51,0.5854924956730645,0.0537,0.054900000000000004,0.060899999999999996,0.048,0.016984458547554662,0.004,0.0,0.0332,0.0078,0.0016003107116250844,-0.0017065219,-0.006244,-0.007692,0.0059999999999999915,-0.0254,-0.005699999999999997,-3.2768182450203582,-3.2838467784449428,-2.6315101239798757,-0.6453081210404823,0.004368495814748519,-0.006244,-0.010244
1966-10-31,80.2,2.88333,5.52333,0.56166131810128,0.0535,0.0541,0.061,0.0467,0.015184079732658656,0.0045000000000000005,0.006116207951070152,0.0228,0.0261,0.002546776640774611,-0.0013716259,0.048333,0.047244,0.006899999999999996,0.003300000000000001,-0.0068000000000000005,-3.325577638666823,-3.279128870939053,-2.675542575602591,-0.650035063064232,0.004352608056033658,0.048333,0.043833
1966-11-30,80.45,2.87667,5.53667,0.572644929824783,0.053200000000000004,0.0535,0.0613,0.048,0.01754963729834962,0.004,0.0,-0.0148,-0.002,0.0007744163149016078,-0.0011406594,0.011223,0.003741,0.007800000000000001,0.0128,-0.005200000000000003,-3.331002498263285,-3.3278901396973617,-2.67624263643452,-0.6547598618287651,0.0043287712331259165,0.011223,0.007223
1966-12-31,80.33,2.87,5.55,0.5769451055759905,0.0496,0.053899999999999997,0.061799999999999994,0.0455,0.017207629499393914,0.004,0.0,0.0413,0.0201,0.0006269420700952824,-4.9878855e-05,0.000326,-0.001089,0.007899999999999997,-0.021200000000000004,-0.0040999999999999995,-3.3318311204141917,-3.3333238436668626,-2.6723452224273783,-0.6594858979868132,0.004042242847743793,0.000326,-0.003674
1967-01-31,86.61,2.88,5.51667,0.5333631411123793,0.0472,0.052000000000000005,0.059699999999999996,0.0448,0.0156975215190902,0.0043,0.0,0.0154,0.045,0.0007334878431993827,0.00024917822,0.079215,0.077723,0.007699999999999992,0.029599999999999998,-0.0023999999999999994,-3.403624988195099,-3.328352856037867,-2.753640864958566,-0.6499841232365324,0.003850723023570035,0.079215,0.074915
1967-02-28,86.78,2.89,5.48333,0.5400478930626541,0.045599999999999995,0.050300000000000004,0.0582,0.0465,0.01770093105536721,0.0036,0.0,-0.0221,-0.0201,0.0004124037219870662,0.00055525637,0.007514,0.00242,0.007899999999999997,0.0020000000000000018,0.000900000000000005,-3.402119678245864,-3.4001587802186126,-2.7616635997298538,-0.64045607851601,0.00372281948566644,0.007514,0.003914
1967-03-31,90.2,2.9,5.45,0.5495507979399062,0.0426,0.0513,0.058499999999999996,0.0455,0.014921235146063794,0.0039000000000000003,0.003039513677811634,0.0198,0.0117,0.0005011362075850718,0.00071807065,0.041137,0.039544,0.007199999999999998,-0.008100000000000001,0.0029,-3.43731869007615,-3.398665443377776,-2.806413818393425,-0.6309048716827246,0.0034825160297176083,0.041137,0.037237
1967-04-30,94.01,2.9,5.41,0.5305166936068224,0.0384,0.051100000000000007,0.0583,0.0477,0.015045876646046698,0.0032,0.003030303030303161,-0.0291,-0.0071,0.0008370969069925273,0.00058346768,0.043371,0.042544,0.007199999999999991,0.022,0.009300000000000003,-3.478690422598031,-3.43731869007615,-2.855152066732069,-0.623538355865962,0.0031450241575170512,0.043371,0.040171
1967-05-31,89.08,2.9,5.37,0.5582011823214789,0.036000000000000004,0.0524,0.0596,0.0482,0.011464093859269761,0.0033,0.0030211480362538623,-0.0039,-0.0254,0.0008903396231535441,0.0013629683,-0.04681,-0.052314,0.007199999999999998,-0.0215,0.012199999999999996,-3.424824105396739,-3.478690422598031,-2.808706933868394,-0.6161171715283451,0.0029516094330215292,-0.04681,-0.050109999999999995
1967-06-30,90.64,2.9,5.33,0.5532048450468463,0.0354,0.054400000000000004,0.061500000000000006,0.0507,0.010152823510070848,0.0027,0.0030120481927708997,-0.0312,-0.0223,0.0010707327571480442,0.0017294553,0.019319,0.018015,0.007100000000000002,0.008899999999999998,0.015300000000000001,-3.4421848797273227,-3.424824105396739,-2.8335443785419976,-0.6086405011853249,0.0029031915789923257,0.019319,0.016619
1967-07-31,94.75,2.90667,5.32,0.5262983278775546,0.0421,0.0558,0.0626,0.0505,0.0066870034980100485,0.0031,0.0030030030030030463,0.0068,0.0041,0.00021844692810296147,0.0016540993,0.046454,0.045623,0.0068000000000000005,-0.0026999999999999993,0.008400000000000005,-3.4842337479214236,-3.439887520678639,-2.8797685406089824,-0.6044652073124412,0.003442403844149622,0.046454,0.043354000000000004
1967-08-31,93.64,2.91333,5.31,0.5280209477526656,0.042699999999999995,0.0562,0.0633,0.0514,0.005841314699760627,0.0031,0.0029940119760478723,-0.0084,-0.0007,0.00029661791501019733,0.0020824119,-0.006824,-0.012197,0.007099999999999995,0.007699999999999999,0.008700000000000006,-3.47016088578879,-3.481945087128615,-2.8698658073688628,-0.6002950784199272,0.0034905363507502507,-0.006824,-0.009924
1967-09-30,96.71,2.92,5.3,0.5135648457902575,0.044199999999999996,0.0565,0.064,0.0517,0.005599816278769475,0.0032,0.0029850746268658135,-0.0004,0.0094,0.0003585438170942761,0.0022640229,0.033815,0.032597,0.0075,0.0098,0.007500000000000007,-3.5001331934486815,-3.46787402634252,-2.904009989170796,-0.5961232042778857,0.0036107566318024364,0.033815,0.030614999999999996
1967-10-31,93.9,2.92,5.31,0.5409552822424807,0.045599999999999995,0.0582,0.0652,0.0549,0.0037152212921777016,0.0039000000000000003,0.0029761904761904656,-0.04,-0.0281,0.0004449024953697818,0.0022940724,-0.027448,-0.028701,0.006999999999999992,0.0119,0.009300000000000003,-3.4706467699340267,-3.5001331934486815,-2.8726385509603696,-0.5980082189736571,0.00372281948566644,-0.027448,-0.031348
1967-11-30,94.0,2.92,5.32,0.543382697160343,0.0473,0.060700000000000004,0.0672,0.0567,0.002772998210728787,0.0036,0.0029673590504448732,-0.0196,-0.0272,0.000954782524756538,0.0028493145,0.006435,0.000533,0.006499999999999992,-0.007599999999999999,0.009399999999999999,-3.4717111659898134,-3.4706467699340267,-2.8718214789164507,-0.5998896870733628,0.0038587110455146068,0.006435,0.002835
1967-12-31,96.47,2.92,5.33,0.525792445117168,0.049699999999999994,0.061900000000000004,0.0693,0.0556,0.014361110027660029,0.0033,0.002958579881656931,0.0192,0.0127,0.0002708991606293759,0.0029522247,0.027079,0.025857,0.007399999999999997,-0.006499999999999999,0.0059000000000000025,-3.4976484629022715,-3.4717111659898134,-2.8958808410047086,-0.6017676218975627,0.0040502141257032775,0.027079,0.023778999999999998
1968-01-31,92.24,2.93,5.36667,0.5563023834851017,0.05,0.0617,0.0684,0.0536,0.01285423537356966,0.004,0.005899705014749346,0.0328,0.0361,0.0004833189350448043,0.0025043814,-0.041875,-0.043523,0.0067000000000000046,0.0032999999999999974,0.003599999999999999,-3.4493914529318275,-3.494229656153486,-2.8441862715206763,-0.605205181411151,0.0040741237836483535,-0.041875,-0.045875
1968-02-29,89.36,2.94,5.40333,0.5662105889351576,0.049800000000000004,0.061,0.068,0.0542,0.010450810193127666,0.0039000000000000003,0.0029325513196480912,-0.0033,0.0037,0.0008204453063018298,0.0025561893,-0.0269,-0.031973,0.007000000000000006,0.007,0.004399999999999994,-3.414263573410355,-3.445984294610213,-2.8056577245848064,-0.6086058488255484,0.004058184707589341,-0.0269,-0.0308
1968-03-31,90.2,2.95,5.44,0.5668098064638919,0.051699999999999996,0.0611,0.06849999999999999,0.056,0.012677245923167827,0.0038,0.0029239766081869956,-0.0212,-0.0197,0.0013954810358281918,0.0034032192,0.009696,0.008585,0.00739999999999999,0.0015000000000000013,0.004300000000000005,-3.4202242567168497,-3.410867984409217,-2.8082503662007268,-0.6119738905161229,0.004209493678221321,0.009696,0.005896
1968-04-30,97.59,2.96333,5.48333,0.5223520641950407,0.0538,0.0621,0.0697,0.0547,0.008140239388126025,0.0043,0.00291545189504383,0.0227,0.0048,0.0016075746379292835,0.0036993101,0.084092,0.082642,0.007599999999999996,-0.017900000000000003,0.000899999999999998,-3.4944613931556914,-3.4157157910709,-2.879062448513019,-0.6153989446426724,0.004376438657516468,0.084092,0.079792
1968-05-31,98.68,2.97667,5.52667,0.5300333704115684,0.056600000000000004,0.06269999999999999,0.0703,0.0547,0.010646500945249594,0.0045000000000000005,0.0029069767441860517,0.0043,0.0032,0.00038653102139201936,0.0029648972,0.016374,0.011104,0.0076000000000000095,-0.0010999999999999998,-0.0019000000000000059,-3.501077065620656,-3.48996980311287,-2.8822968274859893,-0.6187802381346665,0.004598558211035053,0.016374,0.011874
1968-06-30,99.58,2.99,5.57,0.5307418133214524,0.0552,0.06280000000000001,0.0707,0.0534,0.012090181412477469,0.0043,0.005797101449275477,0.023,0.0122,0.0004995047042005234,0.0026268741,0.009916,0.008695,0.00789999999999999,-0.010799999999999999,-0.001799999999999996,-3.5056879538114414,-3.4966089042585606,-2.883566287274844,-0.6221216665365976,0.004487565969698792,0.009916,0.0056159999999999995
1968-07-31,97.74,3.00333,5.6,0.5396375990939978,0.053099999999999994,0.062400000000000004,0.0698,0.0517,0.01388552775363401,0.0048,0.0057636887608067955,0.0289,0.0341,0.0007566192973929713,0.0026163853,-0.017444,-0.018664,0.007399999999999997,0.0052,-0.0013999999999999915,-3.4825892187684016,-3.501239668140429,-2.859544294100905,-0.6230449246674961,0.004320824242364241,-0.017444,-0.022244
1968-08-31,98.86,3.01667,5.63,0.5318021004229864,0.0509,0.0602,0.0682,0.052,0.018035137689828683,0.0042,0.002865329512893977,-0.0003,0.0206,0.0003164033573881045,0.0028815826,0.016415,0.011259,0.008,0.020900000000000002,0.0010999999999999968,-3.4895511338633227,-3.4781573178265184,-2.8655952657272143,-0.6239558681361088,0.004145815203788983,0.016415,0.012215
1968-09-30,102.67,3.03,5.66,0.5091954391476721,0.0519,0.059699999999999996,0.0679,0.0531,0.0182871234462752,0.0043,0.0028571428571428914,-0.0102,-0.0053,0.0002682316574578456,0.0024118186,0.039351,0.03821,0.008200000000000006,0.004900000000000001,0.0011999999999999997,-3.5229573417895956,-3.4851420883575353,-2.898096069095782,-0.6248612726938139,0.004225406358911998,0.039351,0.035051
1968-10-31,103.41,3.04333,5.69333,0.5003202469576539,0.0535,0.060899999999999996,0.0684,0.0543,0.019410181952969365,0.0044,0.005698005698005604,-0.0132,-0.016,0.0002684030204878884,0.002547129,0.008587,0.006751,0.007500000000000007,-0.0028000000000000004,0.0008000000000000021,-3.525749358548968,-3.5185676506629577,-2.8994063549848352,-0.6263430035641331,0.004352608056033658,0.008587,0.004186999999999999
1968-11-30,108.37,3.05667,5.72667,0.48371705851301416,0.0545,0.061900000000000004,0.0701,0.0566,0.02118878551231064,0.0042,0.0028328611898016387,-0.0269,-0.0226,0.0002629657863405989,0.0024623206,0.05358,0.048659,0.008199999999999992,0.004300000000000002,0.0020999999999999977,-3.5682252098226934,-3.5213755810846736,-2.9404170879748968,-0.6278081218477971,0.004432019218941319,0.05358,0.04938
1968-12-31,103.86,3.07,5.76,0.5049006622516556,0.0596,0.0645,0.0723,0.0598,0.03196144670421363,0.0043,0.0028248587570622874,-0.0363,-0.0233,0.00033397510071427305,0.0023475611,-0.040826,-0.042141,0.007800000000000001,0.012999999999999998,0.0001999999999999988,-3.5213662768170666,-3.5638737363357977,-2.892106363708373,-0.6292599131086942,0.0048359454901756305,-0.040826,-0.045126
1969-01-31,103.01,3.08,5.78,0.5036731673801597,0.061399999999999996,0.0659,0.0732,0.0617,0.036524492439944,0.0053,0.0028169014084507005,-0.0206,0.0139,0.0006067702772336472,0.0021968795,-0.007547,-0.008612,0.007300000000000001,0.0345,0.00030000000000000165,-3.5098964739101186,-3.5181142414306894,-2.880422388211316,-0.629474085698803,0.004978082301133391,-0.007547,-0.012847
1969-02-28,98.13,3.09,5.8,0.5263971896024127,0.061200000000000004,0.0666,0.073,0.0618,0.0413173288012826,0.0046,0.00561797752808979,0.0042,-0.016,0.0005955962528750203,0.0023357287,-0.042321,-0.047384,0.006399999999999989,-0.0202,0.0005999999999999964,-3.4581220393087477,-3.5066549799859477,-2.828435212666028,-0.6296868266427196,0.0049623002383452075,-0.042321,-0.046921
1969-03-31,101.51,3.1,5.82,0.5570402360285629,0.0602,0.06849999999999999,0.0751,0.062,0.03950800385709243,0.0046,0.008379888268156499,0.001,-0.02,0.0005416310257819913,0.0022973853,0.034847,0.033599,0.006600000000000009,-0.021,0.001800000000000003,-3.4887552043052397,-3.4548910187273014,-2.8588570540529936,-0.6298981502522458,0.004883349003426574,0.034847,0.030247000000000003
1969-04-30,103.69,3.11,5.82667,0.5484224041760509,0.0611,0.0689,0.0754,0.0593,0.0442909516712131,0.0053,0.005540166204986097,0.0427,0.0335,0.0005504122158703899,0.0018842739,0.022771,0.021449,0.006499999999999992,-0.0092,-0.001800000000000003,-3.5067829523790435,-3.485534589605197,-2.8789600249286904,-0.6278229274503531,0.004954408184481007,0.022771,0.017471
1969-05-31,103.46,3.12,5.83333,0.555804428516575,0.0604,0.0679,0.07519999999999999,0.0635,0.04400564584288879,0.0048,0.0027548209366392573,-0.049,-0.0227,0.00042689743733280905,0.001576849,0.003854,-0.001862,0.007299999999999987,0.0263,0.0030999999999999986,-3.5013520627539783,-3.5035726767487954,-2.8755970437427454,-0.6257550190112329,0.004899144709827663,0.003854,-0.0009459999999999998
1969-06-30,97.71,3.13,5.84,0.596777333684536,0.0644,0.0698,0.077,0.0623,0.04515276034884265,0.0051,0.005494505494505475,0.0214,0.0035,0.0007522369142320766,0.0011927635,-0.054357,-0.055686,0.007199999999999998,-0.0179,-0.0020999999999999977,-3.4409709034041898,-3.4981520600233074,-2.8172731111161164,-0.6236977922880738,0.005214486701150101,-0.054357,-0.059457
1969-07-31,91.83,3.13667,5.85667,0.6390179896256147,0.07,0.0708,0.0784,0.0621,0.05116088621738784,0.0053,0.005464480874316724,0.0079,0.0005,0.0023056499844712293,0.0015607611,-0.058632,-0.059919,0.007599999999999996,-0.0074,-0.007900000000000004,-3.376777313997561,-3.4388421803283817,-2.7523578589427333,-0.6244194550548277,0.005654145387405274,-0.058632,-0.063932
1969-08-31,95.51,3.14333,5.87333,0.6227889855626733,0.0698,0.0697,0.0786,0.063,0.04691475266285588,0.005,0.005434782608695787,-0.0069,-0.002,0.0009182338133264014,0.0014767373,0.045728,0.04018,0.008900000000000005,0.0049,-0.0068000000000000005,-3.4139482065153395,-3.374656294094124,-2.7888091897437737,-0.6251390167715656,0.005638479650491801,0.045728,0.040728
1969-09-30,93.12,3.15,5.89,0.6408884625318231,0.0709,0.07139999999999999,0.0805,0.0677,0.04839122444917516,0.0062,0.002702702702702675,-0.0531,-0.0244,0.0008915878476120781,0.0021746674,-0.023941,-0.025285,0.00910000000000001,0.0287,-0.0032000000000000084,-3.3864865311455863,-3.4118285012091047,-2.760632986319633,-0.6258535448259535,0.005724608003748521,-0.023941,-0.030141
1969-10-31,97.24,3.15333,5.85333,0.6087687940279677,0.07,0.0733,0.08220000000000001,0.0653,0.04863028112808978,0.006,0.005390835579514697,0.0365,0.0127,0.0007537233048115984,0.0018446799,0.0469,0.044661,0.008900000000000005,-0.023799999999999998,-0.00470000000000001,-3.4287231121352564,-3.3854299466704623,-2.8101714193853056,-0.6185516927499508,0.005654145387405274,0.0469,0.0409
1969-11-30,93.81,3.15667,5.81667,0.6415117567401207,0.0724,0.0735,0.0825,0.0676,0.04790400933574238,0.0052,0.00536193029490617,-0.0243,-0.0471,0.0005091361969821394,0.0015408249,-0.029152,-0.034433,0.009000000000000008,-0.022800000000000004,-0.004800000000000013,-3.3917537856423308,-3.4276644749523935,-2.780543527091795,-0.6112102585505361,0.005841925158329042,-0.029152,-0.034352
1969-12-31,92.06,3.16,5.78,0.6510820130941076,0.0782,0.07719999999999999,0.08650000000000001,0.0687,0.034273783303565106,0.0064,0.005333333333333412,-0.0068,-0.0134,0.0011635548351533978,0.00082225183,-0.016922,-0.018365,0.009300000000000017,-0.006600000000000001,-0.009500000000000008,-3.371868510790275,-3.390699432539039,-2.7680368557048096,-0.6038316550854654,0.0062941407136822836,-0.016922,-0.023322
1970-01-31,85.02,3.16333,5.73,0.7003467462301428,0.0787,0.0791,0.0886,0.0693,0.03447320797551426,0.006,0.0026525198938991412,-0.0021,0.0141,0.001067097271218063,0.00090760752,-0.075398,-0.076809,0.009499999999999995,0.0162,-0.009400000000000006,-3.291261252718252,-3.3708152681767034,-2.697170992203996,-0.5940902605142564,0.006333020340246076,-0.075398,-0.08139800000000001
1970-02-28,89.5,3.16667,5.68,0.6701475070409856,0.0713,0.0793,0.08779999999999999,0.0651,0.0358552170375318,0.0062,0.005291005291005346,0.0587,0.0401,0.0010587117306881857,0.00037891846,0.059521,0.053615,0.008499999999999994,-0.018600000000000005,-0.006199999999999997,-3.341558062711399,-3.290205960361234,-2.7572873925477497,-0.5842706701636495,0.005755907299464846,0.059521,0.053321
1970-03-31,89.63,3.17,5.63,0.6903267690975978,0.0663,0.0784,0.0863,0.0661,0.035841581177216954,0.005699999999999999,0.0052631578947368585,-0.0068,-0.0045,0.0009635389970893111,-0.00043143621,0.002806,0.001232,0.007900000000000004,0.0023,-0.00019999999999999185,-3.341958497480081,-3.34050703739162,-2.7675806432176717,-0.5743778542624098,0.005363893778966178,0.002806,-0.0028939999999999994
1970-04-30,81.52,3.17333,5.59333,0.7367505807871533,0.06509999999999999,0.0783,0.087,0.0699,0.03571212482675271,0.005,0.00785340314136107,-0.0413,-0.025,0.0016146769913286704,0.00049399428,-0.088831,-0.090035,0.0087,0.016300000000000002,0.004800000000000013,-3.2460668792000247,-3.340908575654826,-2.679273572491253,-0.5667933067087718,0.005269559835802795,-0.088831,-0.093831
1970-05-31,76.55,3.17667,5.55667,0.7742276283478955,0.0684,0.08109999999999999,0.0898,0.0743,0.038661028309579064,0.0053,0.0025974025974027093,-0.0468,-0.0163,0.008151854425065889,-0.00023762602,-0.054689,-0.061112,0.008700000000000013,0.030500000000000003,0.0059000000000000025,-3.182110643788299,-3.2450149105990755,-2.622945114129256,-0.5591655296590432,0.005528744261182883,-0.054689,-0.059989
1970-06-30,72.72,3.18,5.52,0.7933814170555791,0.0668,0.0848,0.0925,0.0709,0.04229074791135813,0.0058,0.005181347150258864,0.0486,0.0001,0.0026519110173923743,-0.00025229462,-0.049032,-0.050902,0.0076999999999999985,-0.048499999999999995,0.004100000000000006,-3.1297352530771376,-3.181062925311607,-2.578238589580219,-0.5514966634969183,0.005403170869843654,-0.049032,-0.054832
1970-07-31,78.05,3.18333,5.46667,0.7387075682449735,0.0645,0.08439999999999999,0.094,0.0687,0.043073821662607,0.0052,0.005154639175257714,0.0319,0.0556,0.002126476383453863,0.00032780954,0.075523,0.073219,0.009600000000000011,0.0237,0.004199999999999995,-3.199421828257879,-3.128688631165661,-2.6586799910434866,-0.5407418372143924,0.0052223563241342585,0.075523,0.07032300000000001
1970-08-31,81.52,3.18667,5.41333,0.7092782965811294,0.0641,0.08130000000000001,0.0944,0.0694,0.038729252606242486,0.0053,0.0,-0.0019,0.01,0.0018871043050804042,0.0015175963,0.049778,0.043782,0.013099999999999987,0.0119,0.005299999999999999,-3.2418719044947117,-3.1983731625416834,-2.711983958612784,-0.5298879458819281,0.005190873765118953,0.049778,0.044478000000000004
1970-09-30,84.21,3.19,5.36,0.7129147604774675,0.061200000000000004,0.0809,0.09390000000000001,0.068,0.03794241925083178,0.0054,0.00512820512820511,0.0228,0.0139,0.001057964932286218,0.00087569701,0.034702,0.033021,0.013000000000000012,-0.008900000000000002,0.0068000000000000005,-3.2732927622451475,-3.240827472117716,-2.75434970395919,-0.5189430582859575,0.0049623002383452075,0.034702,0.029301999999999995
1970-10-31,83.25,3.17333,5.28333,0.7176982835060414,0.0591,0.0803,0.0933,0.0693,0.036962491060234325,0.0046,0.005102040816326481,-0.0109,-0.0096,0.0010433956864619354,0.00062401896,-0.009032,-0.011639,0.012999999999999998,0.0013000000000000008,0.0102,-3.2670666191461084,-3.2785321693274563,-2.7572915481203983,-0.5097750710257101,0.00479642376289191,-0.009032,-0.013632
1970-11-30,87.2,3.15667,5.20667,0.6829200720321373,0.0528,0.0805,0.09380000000000001,0.0637,0.03522492799431059,0.0046,0.005076142131979822,0.0791,0.0584,0.000885453566751327,0.00057113489,0.054387,0.048836,0.013300000000000006,-0.020700000000000003,0.010900000000000007,-3.318686656419405,-3.2723304543650245,-2.818263834966843,-0.5004228214525621,0.004296979118938893,0.054387,0.049787
1970-12-31,92.15,3.14,5.13,0.6464263576979926,0.0487,0.0764,0.09119999999999999,0.0648,0.03146170744744369,0.0042,0.005050505050504972,-0.0084,0.0372,0.0005351999430460775,0.0015125012,0.058684,0.057358,0.014799999999999994,0.045599999999999995,0.016099999999999996,-3.3791948841956705,-3.3239815309947716,-2.888312024933154,-0.4908828592625163,0.003970470001804172,0.058684,0.054484
1971-01-31,95.88,3.13,5.16,0.6244099021301094,0.0444,0.0736,0.0874,0.0612,0.03059313016798034,0.0038,0.0,0.0506,0.0532,0.0005410308778134086,0.0016976254,0.042828,0.0415,0.013800000000000007,0.002599999999999998,0.016799999999999995,-3.4220644050141216,-3.3823846795637706,-2.922160830072712,-0.4999035749414096,0.0036267740400885984,0.042828,0.039028
